"ListItem-c11n-8-84-3__sc-10e22w8-0","ListItem-c11n-8-84-3__sc-10e22w8-0 2","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","Icon-c11n-8-84-3__sc-13llmml-0","Image-c11n-8-84-3__sc-1rtmhsc-0 src","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 4","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2 Dogwood Loop Ave, Ocala, FL 34472"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,914""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2 Dogwood Loop Ave"",""addressLocality"":""Ocala"",""addressRegion"":""FL"",""postalCode"":""34472""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.121286,""longitude"":-82.044525},""url"":""https://www.zillow.com/homedetails/2-Dogwood-Loop-Ave-Ocala-FL-34472/87647859_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 2 Dogwood Loop Ave"",""url"":""https://www.zillow.com/homedetails/2-Dogwood-Loop-Ave-Ocala-FL-34472/87647859_zpid/"",""image"":""https://photos.zillowstatic.com/fp/935f2eceb638b455a3976c823474f963-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/2-Dogwood-Loop-Ave-Ocala-FL-34472/87647859_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2 Dogwood Loop Ave"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2 Dogwood Loop Ave"",""postalCode"":""34472"",""addressLocality"":""Ocala"",""addressRegion"":""FL""}}],""offers"":{""price"":293000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2-Dogwood-Loop-Ave-Ocala-FL-34472/87647859_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Opendoor Brokerage LLC""}","https://www.zillow.com/homedetails/2-Dogwood-Loop-Ave-Ocala-FL-34472/87647859_zpid/","2 Dogwood Loop Ave, Ocala, FL 34472","OPENDOOR BROKERAGE LLC","$293,000","- House for sale","4","bds","3","ba","1,914","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/935f2eceb638b455a3976c823474f963-p_e.jpg","https://photos.zillowstatic.com/fp/aaafaf8e627d996719f850d059dd63b9-p_e.jpg","https://photos.zillowstatic.com/fp/9ec80f9295ef2138ccc8808a0c22bc5c-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""421 Buchannan Dr, Davenport, FL 33837"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,257""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""421 Buchannan Dr"",""addressLocality"":""Davenport"",""addressRegion"":""FL"",""postalCode"":""33837""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.16384,""longitude"":-81.632454},""url"":""https://www.zillow.com/homedetails/421-Buchannan-Dr-Davenport-FL-33837/251232946_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 421 Buchannan Dr"",""url"":""https://www.zillow.com/homedetails/421-Buchannan-Dr-Davenport-FL-33837/251232946_zpid/"",""image"":""https://photos.zillowstatic.com/fp/70e81a9edc29e294fc68dd75a980fcd8-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/421-Buchannan-Dr-Davenport-FL-33837/251232946_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""421 Buchannan Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""421 Buchannan Dr"",""postalCode"":""33837"",""addressLocality"":""Davenport"",""addressRegion"":""FL""}}],""offers"":{""price"":385000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/421-Buchannan-Dr-Davenport-FL-33837/251232946_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Keller Williams Classic""}","https://www.zillow.com/homedetails/421-Buchannan-Dr-Davenport-FL-33837/251232946_zpid/","421 Buchannan Dr, Davenport, FL 33837","KELLER WILLIAMS CLASSIC","$385,000","- House for sale","4","bds","3","ba","2,257","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/70e81a9edc29e294fc68dd75a980fcd8-p_e.jpg","https://photos.zillowstatic.com/fp/ad61abf313658e8040c0129ff27e5687-p_e.jpg","https://photos.zillowstatic.com/fp/2f8d59bb331c3e86c758d30d2dea7213-p_e.jpg","Use arrow keys to navigate","Image 1 of 41","Save this home"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1292 SW Bent Pine Cv, Port Saint Lucie, FL 34986"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,530""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1292 SW Bent Pine Cv"",""addressLocality"":""Port Saint Lucie"",""addressRegion"":""FL"",""postalCode"":""34986""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.30799,""longitude"":-80.38848},""url"":""https://www.zillow.com/homedetails/1292-SW-Bent-Pine-Cv-Port-Saint-Lucie-FL-34986/47810559_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 0:00 - 2:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/1292-SW-Bent-Pine-Cv-Port-Saint-Lucie-FL-34986/47810559_zpid/"",""startDate"":""2023-09-24T12:00:00"",""endDate"":""2023-09-24T14:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""1292 SW Bent Pine Cv"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.30799,""longitude"":-80.38848},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1292 SW Bent Pine Cv"",""postalCode"":""34986"",""addressLocality"":""Port Saint Lucie"",""addressRegion"":""FL""}},""image"":""https://photos.zillowstatic.com/fp/bf29fbe06fe2ef3a31cad9feadc43995-p_e.jpg"",""offers"":{""price"":350000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/1292-SW-Bent-Pine-Cv-Port-Saint-Lucie-FL-34986/47810559_zpid/"",""validFrom"":""2023-09-24T12:00:00""},""performer"":""Real Estate of Florida""}","https://www.zillow.com/homedetails/1292-SW-Bent-Pine-Cv-Port-Saint-Lucie-FL-34986/47810559_zpid/","1292 SW Bent Pine Cv, Port Saint Lucie, FL 34986","REAL ESTATE OF FLORIDA. Listing provided by BeachesMLS","$350K","- Auction","3","bds","3","ba","2,530","sqft","Open: Sun. 12-2pm","Chevron Left","https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg","Previous photo","Chevron Right","Next photo","","https://photos.zillowstatic.com/fp/bf29fbe06fe2ef3a31cad9feadc43995-p_e.jpg","https://photos.zillowstatic.com/fp/a89289f2024ac8fe264552cf2423c499-p_e.jpg","https://photos.zillowstatic.com/fp/3cb0d9afff5c0e735cb14c14e0c66ec7-p_e.jpg","Use arrow keys to navigate","Image 1 of 55","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""20 Brook Ln, Ocala, FL 34472"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,185""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""20 Brook Ln"",""addressLocality"":""Ocala"",""addressRegion"":""FL"",""postalCode"":""34472""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.09733,""longitude"":-82.00923},""url"":""https://www.zillow.com/homedetails/20-Brook-Ln-Ocala-FL-34472/62636771_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 8:00 AM - 7:30 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/20-Brook-Ln-Ocala-FL-34472/62636771_zpid/"",""startDate"":""2023-09-20T08:00:00"",""endDate"":""2023-09-20T19:30:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""20 Brook Ln"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.09733,""longitude"":-82.00923},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""20 Brook Ln"",""postalCode"":""34472"",""addressLocality"":""Ocala"",""addressRegion"":""FL""}},""image"":""https://photos.zillowstatic.com/fp/f9a5b944ca0a922060007b0167f458b2-p_e.jpg"",""offers"":{""price"":202000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/20-Brook-Ln-Ocala-FL-34472/62636771_zpid/"",""validFrom"":""2023-09-20T08:00:00""},""performer"":""Opendoor Brokerage LLC""}","https://www.zillow.com/homedetails/20-Brook-Ln-Ocala-FL-34472/62636771_zpid/","20 Brook Ln, Ocala, FL 34472","OPENDOOR BROKERAGE LLC","$202,000","- House for sale","3","bds","2","ba","1,185","sqft","Open: Wed. 8am-7:30pm","","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/f9a5b944ca0a922060007b0167f458b2-p_e.jpg","https://photos.zillowstatic.com/fp/bbcdc971b7df7475939f50c00526bacf-p_e.jpg","https://photos.zillowstatic.com/fp/21e578ccfc195ed70027c8e5a9bee1dc-p_e.jpg","Use arrow keys to navigate","Image 1 of 23","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4512 SW 5th Pl, Cape Coral, FL 33914"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,595""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4512 SW 5th Pl"",""addressLocality"":""Cape Coral"",""addressRegion"":""FL"",""postalCode"":""33914""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.568039,""longitude"":-81.98625},""url"":""https://www.zillow.com/homedetails/4512-SW-5th-Pl-Cape-Coral-FL-33914/45428199_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 4512 SW 5th Pl"",""url"":""https://www.zillow.com/homedetails/4512-SW-5th-Pl-Cape-Coral-FL-33914/45428199_zpid/"",""image"":""https://photos.zillowstatic.com/fp/db3082339f01451f5fcd3482f25cea8d-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/4512-SW-5th-Pl-Cape-Coral-FL-33914/45428199_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""4512 SW 5th Pl"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4512 SW 5th Pl"",""postalCode"":""33914"",""addressLocality"":""Cape Coral"",""addressRegion"":""FL""}}],""offers"":{""price"":389900,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/4512-SW-5th-Pl-Cape-Coral-FL-33914/45428199_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Realty Group of SW Florida Inc""}","https://www.zillow.com/homedetails/4512-SW-5th-Pl-Cape-Coral-FL-33914/45428199_zpid/","4512 SW 5th Pl, Cape Coral, FL 33914","REALTY GROUP OF SW FLORIDA INC, Steven Cosenza","$389,900","- House for sale","3","bds","2","ba","1,595","sqft","3D Tour","Three Dimensional","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/db3082339f01451f5fcd3482f25cea8d-p_e.jpg","https://photos.zillowstatic.com/fp/d4eaedf51d483fd9aeb85fe349ebb6ea-p_e.jpg","https://photos.zillowstatic.com/fp/e03d107b7b2b5b3b1fb065a520314232-p_e.jpg","Use arrow keys to navigate","Image 1 of 27","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""39 Rose Dr, Palm Coast, FL 32164"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,377""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""39 Rose Dr"",""addressLocality"":""Palm Coast"",""addressRegion"":""FL"",""postalCode"":""32164""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.521446,""longitude"":-81.24865},""url"":""https://www.zillow.com/homedetails/39-Rose-Dr-Palm-Coast-FL-32164/70742225_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 39 Rose Dr"",""url"":""https://www.zillow.com/homedetails/39-Rose-Dr-Palm-Coast-FL-32164/70742225_zpid/"",""image"":""https://photos.zillowstatic.com/fp/668b91e29532e39f72bc1beb52549b7d-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/39-Rose-Dr-Palm-Coast-FL-32164/70742225_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""39 Rose Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""39 Rose Dr"",""postalCode"":""32164"",""addressLocality"":""Palm Coast"",""addressRegion"":""FL""}}],""offers"":{""price"":275000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/39-Rose-Dr-Palm-Coast-FL-32164/70742225_zpid/"",""validFrom"":""2023-09-20""},""performer"":""LPT Realty, LLC""}","https://www.zillow.com/homedetails/39-Rose-Dr-Palm-Coast-FL-32164/70742225_zpid/","39 Rose Dr, Palm Coast, FL 32164","LPT REALTY, LLC, Jason Hanson. Listing provided by DBAMLS","$275,000","- House for sale","3","bds","2","ba","1,377","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/cc45f5baf72ebb81d136978ae7e7cbf0-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/668b91e29532e39f72bc1beb52549b7d-p_e.jpg","https://photos.zillowstatic.com/fp/c17d8ea28c2980bc383f6ad85cab0041-p_e.jpg","https://photos.zillowstatic.com/fp/648485caac8b5f32eef222190897b6c9-p_e.jpg","Use arrow keys to navigate","Image 1 of 18","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10707 SE 134th St, Ocklawaha, FL 32179"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,554""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10707 SE 134th St"",""addressLocality"":""Ocklawaha"",""addressRegion"":""FL"",""postalCode"":""32179""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.027325,""longitude"":-81.97566},""url"":""https://www.zillow.com/homedetails/10707-SE-134th-St-Ocklawaha-FL-32179/70404691_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 10707 SE 134th St"",""url"":""https://www.zillow.com/homedetails/10707-SE-134th-St-Ocklawaha-FL-32179/70404691_zpid/"",""image"":""https://photos.zillowstatic.com/fp/35de5676de30ef89c0466e5483d08479-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/10707-SE-134th-St-Ocklawaha-FL-32179/70404691_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""10707 SE 134th St"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10707 SE 134th St"",""postalCode"":""32179"",""addressLocality"":""Ocklawaha"",""addressRegion"":""FL""}}],""offers"":{""price"":265000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/10707-SE-134th-St-Ocklawaha-FL-32179/70404691_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Nexthome Professional Realty""}","https://www.zillow.com/homedetails/10707-SE-134th-St-Ocklawaha-FL-32179/70404691_zpid/","10707 SE 134th St, Ocklawaha, FL 32179","NEXTHOME PROFESSIONAL REALTY","$265,000","- House for sale","3","bds","2","ba","1,554","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/35de5676de30ef89c0466e5483d08479-p_e.jpg","https://photos.zillowstatic.com/fp/583d2c289fc36f7441ed6e211f6314c3-p_e.jpg","https://photos.zillowstatic.com/fp/5f70149734d65ecb3798d56e765d6d39-p_e.jpg","Use arrow keys to navigate","Image 1 of 59","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1019 Kelsey Ave, Oviedo, FL 32765"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,304""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1019 Kelsey Ave"",""addressLocality"":""Oviedo"",""addressRegion"":""FL"",""postalCode"":""32765""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.648787,""longitude"":-81.18869},""url"":""https://www.zillow.com/homedetails/1019-Kelsey-Ave-Oviedo-FL-32765/47695299_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 1019 Kelsey Ave"",""url"":""https://www.zillow.com/homedetails/1019-Kelsey-Ave-Oviedo-FL-32765/47695299_zpid/"",""image"":""https://photos.zillowstatic.com/fp/aabf7abe23907f0d9f797f122f639749-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/1019-Kelsey-Ave-Oviedo-FL-32765/47695299_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""1019 Kelsey Ave"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1019 Kelsey Ave"",""postalCode"":""32765"",""addressLocality"":""Oviedo"",""addressRegion"":""FL""}}],""offers"":{""price"":375000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/1019-Kelsey-Ave-Oviedo-FL-32765/47695299_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Watson Realty Corp""}","https://www.zillow.com/homedetails/1019-Kelsey-Ave-Oviedo-FL-32765/47695299_zpid/","1019 Kelsey Ave, Oviedo, FL 32765","WATSON REALTY CORP","$375,000","- House for sale","3","bds","3","ba","1,304","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/aabf7abe23907f0d9f797f122f639749-p_e.jpg","https://photos.zillowstatic.com/fp/b3640ac5e5133d894db04bb2878f33a3-p_e.jpg","https://photos.zillowstatic.com/fp/5f5fbbb55375bf730d064f735616098d-p_e.jpg","Use arrow keys to navigate","Image 1 of 41","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14260 SW 122nd Ct, Miami, FL 33186"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,093""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14260 SW 122nd Ct"",""addressLocality"":""Miami"",""addressRegion"":""FL"",""postalCode"":""33186""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":25.636295,""longitude"":-80.39112},""url"":""https://www.zillow.com/homedetails/14260-SW-122nd-Ct-Miami-FL-33186/44332489_zpid/""}","","https://www.zillow.com/homedetails/14260-SW-122nd-Ct-Miami-FL-33186/44332489_zpid/","14260 SW 122nd Ct, Miami, FL 33186","COMPASS FLORIDA, LLC","$679,900","- House for sale","3","bds","3","ba","2,093","sqft","16 days on Zillow","","https://photos.zillowstatic.com/fp/a8b02d5ac61ac8b9a11bda64382b4f89-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/171156205a3407e2eee27d50f2342f79-p_e.jpg","https://photos.zillowstatic.com/fp/880e8457e34cdd7d71bc0365135a52a3-p_e.jpg","https://photos.zillowstatic.com/fp/03287a3b211089a6006b79dd3ee352b6-p_e.jpg","Use arrow keys to navigate","Image 1 of 43","Save this home"
