"ListItem-c11n-8-84-3__sc-10e22w8-0","ListItem-c11n-8-84-3__sc-10e22w8-0 2","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src","Anchor-c11n-8-84-3__sc-hn4bge-0 href 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Anchor-c11n-8-84-3__sc-hn4bge-0 href 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""390 Melrose Dr, Idaho Falls, ID 83401"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,728""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""390 Melrose Dr"",""addressLocality"":""Idaho Falls"",""addressRegion"":""ID"",""postalCode"":""83401""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.49935,""longitude"":-111.99325},""url"":""https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 390 Melrose Dr"",""url"":""https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/"",""image"":""https://photos.zillowstatic.com/fp/c71527e7d66e0aabee36358acbae0296-p_e.jpg"",""startDate"":""2023-09-28"",""endDate"":""2023-09-28"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""390 Melrose Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""390 Melrose Dr"",""postalCode"":""83401"",""addressLocality"":""Idaho Falls"",""addressRegion"":""ID""}}],""offers"":{""price"":306000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/"",""validFrom"":""2023-09-28""},""performer"":""eXp Realty LLC""}","https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/","390 Melrose Dr, Idaho Falls, ID 83401","EXP REALTY LLC","$306,000","- House for sale","5","bds","2","ba","1,728","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/c71527e7d66e0aabee36358acbae0296-p_e.jpg","https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/","https://photos.zillowstatic.com/fp/c90c6454ff429dd48fa16b290b146dfd-p_e.jpg","https://www.zillow.com/homedetails/390-Melrose-Dr-Idaho-Falls-ID-83401/76927652_zpid/","https://photos.zillowstatic.com/fp/717ee3149af7945670f1fe28ecd2efd5-p_e.jpg","Use arrow keys to navigate","Image 1 of 27","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2191 Calico Dr, Idaho Falls, ID 83402"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,693""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2191 Calico Dr"",""addressLocality"":""Idaho Falls"",""addressRegion"":""ID"",""postalCode"":""83402""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.503227,""longitude"":-112.074585},""url"":""https://www.zillow.com/homedetails/2191-Calico-Dr-Idaho-Falls-ID-83402/76906986_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 4:00 - 7:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/2191-Calico-Dr-Idaho-Falls-ID-83402/76906986_zpid/"",""startDate"":""2023-09-29T16:00:00"",""endDate"":""2023-09-29T19:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2191 Calico Dr"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.503227,""longitude"":-112.074585},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2191 Calico Dr"",""postalCode"":""83402"",""addressLocality"":""Idaho Falls"",""addressRegion"":""ID""}},""image"":""https://photos.zillowstatic.com/fp/55c9ba1b57d1ee2367a0068c7669820b-p_e.jpg"",""offers"":{""price"":325000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2191-Calico-Dr-Idaho-Falls-ID-83402/76906986_zpid/"",""validFrom"":""2023-09-29T16:00:00""},""performer"":""Keller Williams Realty East Idaho""}","https://www.zillow.com/homedetails/2191-Calico-Dr-Idaho-Falls-ID-83402/76906986_zpid/","2191 Calico Dr, Idaho Falls, ID 83402","KELLER WILLIAMS REALTY EAST IDAHO","$325,000","- House for sale","3","bds","3","ba","1,693","sqft","Open: Fri. 4-7pm","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/55c9ba1b57d1ee2367a0068c7669820b-p_e.jpg","https://www.zillow.com/homedetails/2191-Calico-Dr-Idaho-Falls-ID-83402/76906986_zpid/","https://photos.zillowstatic.com/fp/83a9d5fd9881c29fa09c3d0f085c0c9e-p_e.jpg","https://www.zillow.com/homedetails/2191-Calico-Dr-Idaho-Falls-ID-83402/76906986_zpid/","https://photos.zillowstatic.com/fp/9e19cbae3c17914c0ce7d317f8528b57-p_e.jpg","Use arrow keys to navigate","Image 1 of 51","Save this home"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""75 Ocean Front Pl, Naples, ID 83847"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,006""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""75 Ocean Front Pl"",""addressLocality"":""Naples"",""addressRegion"":""ID"",""postalCode"":""83847""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":48.65313,""longitude"":-116.35648},""url"":""https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 75 Ocean Front Pl"",""url"":""https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/"",""image"":""https://photos.zillowstatic.com/fp/9090738ef9995f06cf672b332f00ea03-p_e.jpg"",""startDate"":""2023-09-28"",""endDate"":""2023-09-28"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""75 Ocean Front Pl"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""75 Ocean Front Pl"",""postalCode"":""83847"",""addressLocality"":""Naples"",""addressRegion"":""ID""}}],""offers"":{""price"":724900,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/"",""validFrom"":""2023-09-28""},""performer"":""eXp REALTY LLC""}","https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/","75 Ocean Front Pl, Naples, ID 83847","EXP REALTY LLC","$724,900","- House for sale","3","bds","2","ba","2,006","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/ecae2c8bef40023c4fcf0728d553656c-zillow_web_48_23.jpg","https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/","https://photos.zillowstatic.com/fp/9090738ef9995f06cf672b332f00ea03-p_e.jpg","https://www.zillow.com/homedetails/75-Ocean-Front-Pl-Naples-ID-83847/305976164_zpid/","https://photos.zillowstatic.com/fp/7c60e2d664f32d50d11fe8732f6d8b1a-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11776 N Cub Ct, Hayden Lake, ID 83835"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,202""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11776 N Cub Ct"",""addressLocality"":""Hayden Lake"",""addressRegion"":""ID"",""postalCode"":""83835""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":47.778812,""longitude"":-116.76553},""url"":""https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Virtual/3D Tour Available - 11776 N Cub Ct"",""url"":""https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/"",""image"":""https://photos.zillowstatic.com/fp/5076f333105f0873509e6f9741a77780-p_e.jpg"",""startDate"":""2023-09-28"",""endDate"":""2023-09-28"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""11776 N Cub Ct"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11776 N Cub Ct"",""postalCode"":""83835"",""addressLocality"":""Hayden Lake"",""addressRegion"":""ID""}}],""offers"":{""price"":1725000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/"",""validFrom"":""2023-09-28""},""performer"":""CENTURY 21 Beutler & Associates""}","https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/","11776 N Cub Ct, Hayden Lake, ID 83835","CENTURY 21 BEUTLER & ASSOCIATES","$1,725,000","- House for sale","4","bds","3","ba","3,202","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/5076f333105f0873509e6f9741a77780-p_e.jpg","https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/","https://photos.zillowstatic.com/fp/31eac4c3a057782e3e46c69961f26668-p_e.jpg","https://www.zillow.com/homedetails/11776-N-Cub-Ct-Hayden-Lake-ID-83835/204526696_zpid/","https://photos.zillowstatic.com/fp/b51e9545d2ecce854564f19c15997a63-p_e.jpg","Use arrow keys to navigate","Image 1 of 42","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""346 Pierce Ave, Pocatello, ID 83204"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,104""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""346 Pierce Ave"",""addressLocality"":""Pocatello"",""addressRegion"":""ID"",""postalCode"":""83204""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":42.859215,""longitude"":-112.46084},""url"":""https://www.zillow.com/homedetails/346-Pierce-Ave-Pocatello-ID-83204/113846940_zpid/""}","","https://www.zillow.com/homedetails/346-Pierce-Ave-Pocatello-ID-83204/113846940_zpid/","346 Pierce Ave, Pocatello, ID 83204","REMAX COUNTRY REAL ESTATE","$150,000","- House for sale","2","bds","1","ba","1,104","sqft","1 day on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/25e11840b170998ae8f072e4373a359d-p_e.jpg","https://www.zillow.com/homedetails/346-Pierce-Ave-Pocatello-ID-83204/113846940_zpid/","https://photos.zillowstatic.com/fp/20fc631a69b27ea9111f70c8afe695cc-p_e.jpg","https://www.zillow.com/homedetails/346-Pierce-Ave-Pocatello-ID-83204/113846940_zpid/","https://photos.zillowstatic.com/fp/6eaeba292bc05f660d4d92e9e04bffd1-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""36521 E Hayden Lake Rd, Hayden Lake, ID 83835"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,837""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""36521 E Hayden Lake Rd"",""addressLocality"":""Hayden Lake"",""addressRegion"":""ID"",""postalCode"":""83835""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":47.804752,""longitude"":-116.70054},""url"":""https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 36521 E Hayden Lake Rd"",""url"":""https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/"",""image"":""https://photos.zillowstatic.com/fp/ba840958a3f608dcf53b8245dadf5866-p_e.jpg"",""startDate"":""2023-09-28"",""endDate"":""2023-09-28"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""36521 E Hayden Lake Rd"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""36521 E Hayden Lake Rd"",""postalCode"":""83835"",""addressLocality"":""Hayden Lake"",""addressRegion"":""ID""}}],""offers"":{""price"":699500,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/"",""validFrom"":""2023-09-28""},""performer"":""Tomlinson Sotheby's International Realty (Idaho)""}","https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/","36521 E Hayden Lake Rd, Hayden Lake, ID 83835","TOMLINSON SOTHEBY'S INTERNATIONAL REALTY (IDAHO)","$699,500","- House for sale","3","bds","3","ba","1,837","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/ba840958a3f608dcf53b8245dadf5866-p_e.jpg","https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/","https://photos.zillowstatic.com/fp/27511db870ebe4e0e06b26f2750575ac-p_e.jpg","https://www.zillow.com/homedetails/36521-E-Hayden-Lake-Rd-Hayden-Lake-ID-83835/113133258_zpid/","https://photos.zillowstatic.com/fp/9bc4e79f37013f70a6950900f5b1a17a-p_e.jpg","Use arrow keys to navigate","Image 1 of 45","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""748 Spirit Valley Ln, Blanchard, ID 83804"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,512""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""748 Spirit Valley Ln"",""addressLocality"":""Blanchard"",""addressRegion"":""ID"",""postalCode"":""83804""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":48.01573,""longitude"":-116.936745},""url"":""https://www.zillow.com/homedetails/748-Spirit-Valley-Ln-Blanchard-ID-83804/221474004_zpid/""}","","https://www.zillow.com/homedetails/748-Spirit-Valley-Ln-Blanchard-ID-83804/221474004_zpid/","748 Spirit Valley Ln, Blanchard, ID 83804","CENTURY 21 BEUTLER & ASSOCIATES","$499,000","- Home for sale","3","bds","2","ba","1,512","sqft","5 hours ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/f64a9dbcd91db8d5437f15ff6bff6345-p_e.jpg","https://www.zillow.com/homedetails/748-Spirit-Valley-Ln-Blanchard-ID-83804/221474004_zpid/","https://photos.zillowstatic.com/fp/0db70f8486c88f42d9287f88d4bc7301-p_e.jpg","https://www.zillow.com/homedetails/748-Spirit-Valley-Ln-Blanchard-ID-83804/221474004_zpid/","https://photos.zillowstatic.com/fp/82076fe7e62bc3bc40e89bf4949a28c1-p_e.jpg","Use arrow keys to navigate","Image 1 of 46","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6175 W Vermont St, Spirit Lake, ID 83869"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,576""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6175 W Vermont St"",""addressLocality"":""Spirit Lake"",""addressRegion"":""ID"",""postalCode"":""83869""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":47.96296,""longitude"":-116.8697},""url"":""https://www.zillow.com/homedetails/6175-W-Vermont-St-Spirit-Lake-ID-83869/113127058_zpid/""}","","https://www.zillow.com/homedetails/6175-W-Vermont-St-Spirit-Lake-ID-83869/113127058_zpid/","6175 W Vermont St, Spirit Lake, ID 83869","SILVERCREEK REALTY GROUP, LLC","$339,900","- House for sale","4","bds","3","ba","2,576","sqft","Price cut: $5,000 (Aug 7)","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/c63be033ceafcac061b636db62b76e89-p_e.jpg","https://www.zillow.com/homedetails/6175-W-Vermont-St-Spirit-Lake-ID-83869/113127058_zpid/","https://photos.zillowstatic.com/fp/45738727574817d25ab495d26a315b38-p_e.jpg","https://www.zillow.com/homedetails/6175-W-Vermont-St-Spirit-Lake-ID-83869/113127058_zpid/","https://photos.zillowstatic.com/fp/0f0168a666cc4ec7f9fb9bb8ddcfc24d-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""863 E Liberty St, Weiser, ID 83672"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,821""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""863 E Liberty St"",""addressLocality"":""Weiser"",""addressRegion"":""ID"",""postalCode"":""83672""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":44.247456,""longitude"":-116.954254},""url"":""https://www.zillow.com/homedetails/863-E-Liberty-St-Weiser-ID-83672/248973588_zpid/""}","","https://www.zillow.com/homedetails/863-E-Liberty-St-Weiser-ID-83672/248973588_zpid/","863 E Liberty St, Weiser, ID 83672","HUNTER OF HOMES, LLC","$359,900","- New","4","bds","2","ba","1,821","sqft","1 hour ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/7d3d9dbd749691c6d119e1f06c0b817f-p_e.jpg","https://www.zillow.com/homedetails/863-E-Liberty-St-Weiser-ID-83672/248973588_zpid/","https://photos.zillowstatic.com/fp/4e950dd700743629cf4694fd08bf034e-p_e.jpg","https://www.zillow.com/homedetails/863-E-Liberty-St-Weiser-ID-83672/248973588_zpid/","https://photos.zillowstatic.com/fp/c61070065691e47fa9b0ed6350ccd440-p_e.jpg","Use arrow keys to navigate","Image 1 of 34","Save this home"
