"ListItem-c11n-8-84-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 2","Anchor-c11n-8-84-3__sc-hn4bge-0 href","Image-c11n-8-84-3__sc-1rtmhsc-0 src","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""108 Fairmont Rd, Vinita, OK 74301"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,724""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""108 Fairmont Rd"",""addressLocality"":""Vinita"",""addressRegion"":""OK"",""postalCode"":""74301""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.642097,""longitude"":-95.17418},""url"":""https://www.zillow.com/homedetails/108-Fairmont-Rd-Vinita-OK-74301/86005443_zpid/""}","https://www.zillow.com/homedetails/108-Fairmont-Rd-Vinita-OK-74301/86005443_zpid/","108 Fairmont Rd, Vinita, OK 74301","CRYE-LEIKE REALTORS OF, Becky Dorey","$199,900","- House for sale","4","bds","3","ba","3,724","sqft","5 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/108-Fairmont-Rd-Vinita-OK-74301/86005443_zpid/","https://photos.zillowstatic.com/fp/46947d1e61743974283b8743b1237128-p_e.jpg","https://photos.zillowstatic.com/fp/17b8414d167492f3bee0d9fdc9adc254-p_e.jpg","https://photos.zillowstatic.com/fp/2e4990b1e4b0bea97c3007850ab985d9-p_e.jpg","Use arrow keys to navigate","Image 1 of 25","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""108 Church Way, Oklahoma City, OK 73139"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,429""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""108 Church Way"",""addressLocality"":""Oklahoma City"",""addressRegion"":""OK"",""postalCode"":""73139""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.37378,""longitude"":-97.51523},""url"":""https://www.zillow.com/homedetails/108-Church-Way-Oklahoma-City-OK-73139/21755674_zpid/""}","https://www.zillow.com/homedetails/108-Church-Way-Oklahoma-City-OK-73139/21755674_zpid/","108 Church Way, Oklahoma City, OK 73139","HAMILWOOD REAL ESTATE, Clancey Stewart","$350,000","- House for sale","3","bds","3","ba","3,429","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/108-Church-Way-Oklahoma-City-OK-73139/21755674_zpid/","https://photos.zillowstatic.com/fp/da083e5cbed8634d3c329098f9481e27-p_e.jpg","https://photos.zillowstatic.com/fp/a7ffbb0c8c441a61ddcf9ea52a1d5488-p_e.jpg","https://photos.zillowstatic.com/fp/4624a2e8ffe04e937c6c7f91e1c3ed77-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
"","","","","","","","","","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""24718 Wann Rd, Howe, OK 74940"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,180""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""24718 Wann Rd"",""addressLocality"":""Howe"",""addressRegion"":""OK"",""postalCode"":""74940""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.91569,""longitude"":-94.69162},""url"":""https://www.zillow.com/homedetails/24718-Wann-Rd-Howe-OK-74940/93292832_zpid/""}","https://www.zillow.com/homedetails/24718-Wann-Rd-Howe-OK-74940/93292832_zpid/","24718 Wann Rd, Howe, OK 74940","KELLER WILLIAMS PLATINUM REALTY, Team Town and Country Realty","$200,000","- House for sale","4","bds","2","ba","2,180","sqft","47 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/24718-Wann-Rd-Howe-OK-74940/93292832_zpid/","https://photos.zillowstatic.com/fp/f59ee385e894f7c45e4006ac2618aee9-p_e.jpg","https://photos.zillowstatic.com/fp/59aea80e11085b5820399100add8108c-p_e.jpg","https://photos.zillowstatic.com/fp/c24708515d2d230a4cbe54ee3e14a2ef-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2307 Vellano Ln, Edmond, OK 73034"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,705""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2307 Vellano Ln"",""addressLocality"":""Edmond"",""addressRegion"":""OK"",""postalCode"":""73034""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.72914,""longitude"":-97.39715},""url"":""https://www.zillow.com/homedetails/2307-Vellano-Ln-Edmond-OK-73034/113222866_zpid/""}","https://www.zillow.com/homedetails/2307-Vellano-Ln-Edmond-OK-73034/113222866_zpid/","2307 Vellano Ln, Edmond, OK 73034","METRO FIRST REALTY, David L. Sterling","$684,999","- House for sale","4","bds","4","ba","3,705","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2307-Vellano-Ln-Edmond-OK-73034/113222866_zpid/","https://photos.zillowstatic.com/fp/870c4549fed7c546926351d332848ec9-p_e.jpg","https://photos.zillowstatic.com/fp/442a6a47ef250d979577bc7d33c98ddb-p_e.jpg","https://photos.zillowstatic.com/fp/d0bd5911d0d7597d46df74bcde9416d7-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3503 Cherokee Dr, Woodward, OK 73801"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,293""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3503 Cherokee Dr"",""addressLocality"":""Woodward"",""addressRegion"":""OK"",""postalCode"":""73801""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.435204,""longitude"":-99.42661},""url"":""https://www.zillow.com/homedetails/3503-Cherokee-Dr-Woodward-OK-73801/84545190_zpid/""}","https://www.zillow.com/homedetails/3503-Cherokee-Dr-Woodward-OK-73801/84545190_zpid/","3503 Cherokee Dr, Woodward, OK 73801","ADVANCED REAL ESTATE ADVISORS","$135,000","- House for sale","4","bds","2","ba","2,293","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/3503-Cherokee-Dr-Woodward-OK-73801/84545190_zpid/","https://photos.zillowstatic.com/fp/74ea2f18e73fe21472159a174b7e59f3-p_e.jpg","https://photos.zillowstatic.com/fp/9b2d07498a42fe57f4b3f37080815012-p_e.jpg","https://photos.zillowstatic.com/fp/8db4c08112c3b804ff59ffa72aca8fcf-p_e.jpg","Use arrow keys to navigate","Image 1 of 36","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2517 SW 93rd St, Oklahoma City, OK 73159"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,714""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2517 SW 93rd St"",""addressLocality"":""Oklahoma City"",""addressRegion"":""OK"",""postalCode"":""73159""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.37334,""longitude"":-97.55783},""url"":""https://www.zillow.com/homedetails/2517-SW-93rd-St-Oklahoma-City-OK-73159/21754905_zpid/""}","https://www.zillow.com/homedetails/2517-SW-93rd-St-Oklahoma-City-OK-73159/21754905_zpid/","2517 SW 93rd St, Oklahoma City, OK 73159","CENTURY 21 GOODYEAR GREEN, Shane Willard","$209,900","- House for sale","3","bds","2","ba","1,714","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2517-SW-93rd-St-Oklahoma-City-OK-73159/21754905_zpid/","https://photos.zillowstatic.com/fp/2b373433085eb9f659764eae62b20290-p_e.jpg","https://photos.zillowstatic.com/fp/d482cbce2e4139d255dee461a20ac333-p_e.jpg","https://photos.zillowstatic.com/fp/20f8cf446d430c8a48dde2c22b6c9c9b-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""25 Cypress Cir, Pryor, OK 74361"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,111""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""25 Cypress Cir"",""addressLocality"":""Pryor"",""addressRegion"":""OK"",""postalCode"":""74361""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.257355,""longitude"":-95.31478},""url"":""https://www.zillow.com/homedetails/25-Cypress-Cir-Pryor-OK-74361/248979764_zpid/""}","https://www.zillow.com/homedetails/25-Cypress-Cir-Pryor-OK-74361/248979764_zpid/","25 Cypress Cir, Pryor, OK 74361","COLDWELL BANKER SELECT, Maria Chupp","$100K","- Auction","3","bds","3","ba","3,111","sqft","8 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/25-Cypress-Cir-Pryor-OK-74361/248979764_zpid/","https://photos.zillowstatic.com/fp/8a9d1d14906c7ea098fe4f08afc648b8-p_e.jpg","https://photos.zillowstatic.com/fp/73064d8cde3259658b566337728e0d7a-p_e.jpg","https://photos.zillowstatic.com/fp/6e4818ba946198d15834602096a3cbe2-p_e.jpg","Use arrow keys to navigate","Image 1 of 49","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3216 NW 54th St, Oklahoma City, OK 73112"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,318""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3216 NW 54th St"",""addressLocality"":""Oklahoma City"",""addressRegion"":""OK"",""postalCode"":""73112""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.52504,""longitude"":-97.57283},""url"":""https://www.zillow.com/homedetails/3216-NW-54th-St-Oklahoma-City-OK-73112/21959938_zpid/""}","https://www.zillow.com/homedetails/3216-NW-54th-St-Oklahoma-City-OK-73112/21959938_zpid/","3216 NW 54th St, Oklahoma City, OK 73112","KELLER WILLIAMS CENTRAL OK ED, Andrew Foshee","$379,500","- House for sale","4","bds","3","ba","2,318","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/3216-NW-54th-St-Oklahoma-City-OK-73112/21959938_zpid/","https://photos.zillowstatic.com/fp/7fc03ac5afd2af9ef93a0f7e88299265-p_e.jpg","https://photos.zillowstatic.com/fp/e1ab99e713ce34e7500114cdc4cd480e-p_e.jpg","https://photos.zillowstatic.com/fp/f69f4876d8a15cde674b37adadd5b938-p_e.jpg","Use arrow keys to navigate","Image 1 of 36","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""19681 144th St, Lexington, OK 73051"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""19681 144th St"",""addressLocality"":""Lexington"",""addressRegion"":""OK"",""postalCode"":""73051""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.98096,""longitude"":-97.22914},""url"":""https://www.zillow.com/homedetails/19681-144th-St-Lexington-OK-73051/21764422_zpid/""}","https://www.zillow.com/homedetails/19681-144th-St-Lexington-OK-73051/21764422_zpid/","19681 144th St, Lexington, OK 73051","KELLER WILLIAMS REALTY MULINIX, Jennifer Rush","$190,000","- House for sale","4","bds","3","ba","1,758","sqft","Price cut: $10,000 (Sep 13)","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/19681-144th-St-Lexington-OK-73051/21764422_zpid/","https://photos.zillowstatic.com/fp/cd7a13b1522074d5c7fda5a6ecea34b4-p_e.jpg","https://photos.zillowstatic.com/fp/62ed71281dcde626e6a251d6e96a510e-p_e.jpg","https://photos.zillowstatic.com/fp/a2428464a1a271e165acd0f2887c65ab-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
