"ListItem-c11n-8-84-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","Image-c11n-8-84-3__sc-1rtmhsc-0 src","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 2","Anchor-c11n-8-84-3__sc-hn4bge-0 href","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 4","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""937 Cabin Way, Kamas, UT 84036"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,150""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""937 Cabin Way"",""addressLocality"":""Kamas"",""addressRegion"":""UT"",""postalCode"":""84036""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.6579,""longitude"":-111.27527},""url"":""https://www.zillow.com/homedetails/937-Cabin-Way-Kamas-UT-84036/124786069_zpid/""}","https://www.zillow.com/homedetails/937-Cabin-Way-Kamas-UT-84036/124786069_zpid/","937 Cabin Way, Kamas, UT 84036","INTEGRA REALTY, LLC","$299,900","- House for sale","3","bds","4","ba","2,150","sqft","112 days on Zillow","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/937-Cabin-Way-Kamas-UT-84036/124786069_zpid/","https://photos.zillowstatic.com/fp/2767291a41c52f96c532c0e07271dc23-p_e.jpg","https://photos.zillowstatic.com/fp/ef70275cebfff643ba03e998cea9bfcb-p_e.jpg","https://photos.zillowstatic.com/fp/3889547301f7316eca428b27c4f016bd-p_e.jpg","Use arrow keys to navigate","Image 1 of 45","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1458 S Concord St, Salt Lake City, UT 84104"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,059""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1458 S Concord St"",""addressLocality"":""Salt Lake City"",""addressRegion"":""UT"",""postalCode"":""84104""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73743,""longitude"":-111.92711},""url"":""https://www.zillow.com/homedetails/1458-S-Concord-St-Salt-Lake-City-UT-84104/12740782_zpid/""}","https://www.zillow.com/homedetails/1458-S-Concord-St-Salt-Lake-City-UT-84104/12740782_zpid/","1458 S Concord St, Salt Lake City, UT 84104","OPENDOOR BROKERAGE LLC","$496,000","- House for sale","6","bds","3","ba","2,059","sqft","Open: Wed. 8am-7:30pm","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1458-S-Concord-St-Salt-Lake-City-UT-84104/12740782_zpid/","https://photos.zillowstatic.com/fp/c7da8bd86f7a565f348711b2e100278e-p_e.jpg","https://photos.zillowstatic.com/fp/0fa2adae273f0f3583256747cad02058-p_e.jpg","https://photos.zillowstatic.com/fp/317408b5e302780b45765d88f9393f6a-p_e.jpg","Use arrow keys to navigate","Image 1 of 23","Save this home"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2350 Happiness Trl, Midway, UT 84049"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""693""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2350 Happiness Trl"",""addressLocality"":""Midway"",""addressRegion"":""UT"",""postalCode"":""84049""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.55204,""longitude"":-111.5215},""url"":""https://www.zillow.com/homedetails/2350-Happiness-Trl-Midway-UT-84049/245823288_zpid/""}","https://www.zillow.com/homedetails/2350-Happiness-Trl-Midway-UT-84049/245823288_zpid/","2350 Happiness Trl, Midway, UT 84049","SUMMIT SOTHEBY'S - SUGARHOUSE","$375,000","- House for sale","1","bd","1","ba","693","sqft","6 days on Zillow","https://photos.zillowstatic.com/fp/353f9650d9c604248c2f43c75968453d-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2350-Happiness-Trl-Midway-UT-84049/245823288_zpid/","https://photos.zillowstatic.com/fp/2c7cfc5b8fb22d9efd747fa0054bf368-p_e.jpg","https://photos.zillowstatic.com/fp/7816763e65a8ca231af2fb88c2a799b1-p_e.jpg","https://photos.zillowstatic.com/fp/7aca4c080ca40685b302b89c73a4ebee-p_e.jpg","Use arrow keys to navigate","Image 1 of 30","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2057 S High Mountain View Dr, Cedar City, UT 84720"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,304""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2057 S High Mountain View Dr"",""addressLocality"":""Cedar City"",""addressRegion"":""UT"",""postalCode"":""84720""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.64032,""longitude"":-113.03767},""url"":""https://www.zillow.com/homedetails/2057-S-High-Mountain-View-Dr-Cedar-City-UT-84720/249456958_zpid/""}","https://www.zillow.com/homedetails/2057-S-High-Mountain-View-Dr-Cedar-City-UT-84720/249456958_zpid/","2057 S High Mountain View Dr, Cedar City, UT 84720","","$450,000","- House for sale","4","bds","4","ba","2,304","sqft","4 days on Zillow","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2057-S-High-Mountain-View-Dr-Cedar-City-UT-84720/249456958_zpid/","https://photos.zillowstatic.com/fp/73caf707069d226bb63f113a207f0726-p_e.jpg","https://photos.zillowstatic.com/fp/44b0857379aae67b1dc4e52b00f77e07-p_e.jpg","https://photos.zillowstatic.com/fp/5ed0d000e4c73e26f1c4b4dca91fda11-p_e.jpg","Use arrow keys to navigate","Image 1 of 42","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2781 E Oak Tree Dr, Virgin, UT 84779"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""825""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2781 E Oak Tree Dr"",""addressLocality"":""Virgin"",""addressRegion"":""UT"",""postalCode"":""84779""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.40816,""longitude"":-112.97365},""url"":""https://www.zillow.com/homedetails/2781-E-Oak-Tree-Dr-Virgin-UT-84779/2055300793_zpid/""}","https://www.zillow.com/homedetails/2781-E-Oak-Tree-Dr-Virgin-UT-84779/2055300793_zpid/","2781 E Oak Tree Dr, Virgin, UT 84779","COLDWELL BANKER PREMIER REALTY","$179,000","- House for sale","2","bds","1","ba","825","sqft","1 day on Zillow","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2781-E-Oak-Tree-Dr-Virgin-UT-84779/2055300793_zpid/","https://photos.zillowstatic.com/fp/a4733976c690a079293f2639da996fe5-p_e.jpg","https://photos.zillowstatic.com/fp/af84eb9d1cc14eae031ad6364e40a007-p_e.jpg","https://photos.zillowstatic.com/fp/52edc5f5a23152599a5b5f81fff40f2d-p_e.jpg","Use arrow keys to navigate","Image 1 of 40","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1331 Dixie Downs Rd #21, Saint George, UT 84770"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,192""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1331 Dixie Downs Rd #21"",""addressLocality"":""Saint George"",""addressRegion"":""UT"",""postalCode"":""84770""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.130707,""longitude"":-113.625114},""url"":""https://www.zillow.com/homedetails/1331-Dixie-Downs-Rd-21-Saint-George-UT-84770/2055295164_zpid/""}","https://www.zillow.com/homedetails/1331-Dixie-Downs-Rd-21-Saint-George-UT-84770/2055295164_zpid/","1331 Dixie Downs Rd #21, Saint George, UT 84770","FATHOM REALTY (UNION PARK)","$285,000","- House for sale","2","bds","2","ba","1,192","sqft","1 day on Zillow","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1331-Dixie-Downs-Rd-21-Saint-George-UT-84770/2055295164_zpid/","https://photos.zillowstatic.com/fp/fe22110b7ed0528b8b373a582a01f886-p_e.jpg","https://photos.zillowstatic.com/fp/47ecb861cb5e35e0c5510073e10673c6-p_e.jpg","https://photos.zillowstatic.com/fp/cf1ecd2ba23f290713518c4b4de94add-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""223 W 300th St S, Saint George, UT 84770"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,449""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""223 W 300th St S"",""addressLocality"":""Saint George"",""addressRegion"":""UT"",""postalCode"":""84770""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.112938,""longitude"":-113.58812},""url"":""https://www.zillow.com/homedetails/223-W-300th-St-S-Saint-George-UT-84770/2055280890_zpid/""}","https://www.zillow.com/homedetails/223-W-300th-St-S-Saint-George-UT-84770/2055280890_zpid/","223 W 300th St S, Saint George, UT 84770","ERA BROKERS HURRICANE","$430,000","- House for sale","4","bds","2","ba","1,449","sqft","31 minutes ago","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/223-W-300th-St-S-Saint-George-UT-84770/2055280890_zpid/","https://photos.zillowstatic.com/fp/bc7926e6905d70f60a70de0e0bc38625-p_e.jpg","https://photos.zillowstatic.com/fp/303cec3edb1c3fd5a75dd145bdfe6a98-p_e.jpg","https://photos.zillowstatic.com/fp/8b84a8729a77203b270008d42e215bd2-p_e.jpg","Use arrow keys to navigate","Image 1 of 44","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5822 E Caribou Dr, Oakley, UT 84055"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5822 E Caribou Dr"",""addressLocality"":""Oakley"",""addressRegion"":""UT"",""postalCode"":""84055""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.782524,""longitude"":-111.154076},""url"":""https://www.zillow.com/homedetails/5822-E-Caribou-Dr-Oakley-UT-84055/2055284271_zpid/""}","https://www.zillow.com/homedetails/5822-E-Caribou-Dr-Oakley-UT-84055/2055284271_zpid/","5822 E Caribou Dr, Oakley, UT 84055","RE/MAX ASSOCIATES (UTAH COUNTY)","$499,900","- House for sale","2","bds","1","ba","800","sqft","4 hours ago","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/5822-E-Caribou-Dr-Oakley-UT-84055/2055284271_zpid/","https://photos.zillowstatic.com/fp/ff5631e0998de2592a7a5a27e21d2f88-p_e.jpg","https://photos.zillowstatic.com/fp/8cca1966f14d0f5f10eb801f914e6ce7-p_e.jpg","https://photos.zillowstatic.com/fp/70674e9b6b09e79bc258c00345711a70-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""155 N Highland Pkwy, Washington, UT 84780"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,883""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""155 N Highland Pkwy"",""addressLocality"":""Washington"",""addressRegion"":""UT"",""postalCode"":""84780""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.133034,""longitude"":-113.47599},""url"":""https://www.zillow.com/homedetails/155-N-Highland-Pkwy-Washington-UT-84780/338029195_zpid/""}","https://www.zillow.com/homedetails/155-N-Highland-Pkwy-Washington-UT-84780/338029195_zpid/","155 N Highland Pkwy, Washington, UT 84780","PAINTED HILLS REALTY","$1,350,000","- House for sale","4","bds","4","ba","2,883","sqft","3D Tour","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/155-N-Highland-Pkwy-Washington-UT-84780/338029195_zpid/","https://photos.zillowstatic.com/fp/838db8f12a43ba49e36117601062b0f4-p_e.jpg","https://photos.zillowstatic.com/fp/93871e68b36dd37229c86946bf325334-p_e.jpg","https://photos.zillowstatic.com/fp/704e33bbbbc451b63c4d25a188ac6d39-p_e.jpg","Use arrow keys to navigate","Image 1 of 61","Save this home"
